Force Plate
Readings:
0.00290
0.00022
-0.00200
-0.00120
-0.00060
0.00071
-0.00178
-0.00306
-0.00206
-0.00147
-0.00102
-0.00316
-0.00116
0.00215
-0.00335
-0.00375
-0.00465
-0.00470
-0.00181
-0.00028
0.00111
-0.00060
-0.00232
-0.00185
-0.00340
-0.00433
-0.00461
-0.00617
-0.00633
-0.00650
-0.00664
-0.00551
-0.00531
-0.00640
-0.00604
-0.00776
-0.00572
-0.00667
-0.00759
-0.00833
-0.00790
-0.00766
-0.00868
-0.00642
-0.00411
-0.00567
-0.00822
-0.00656
-0.00405
-0.00578
-0.00426
-0.00061
-0.00551
-0.00629
-0.00262
-0.00221
-0.00108
-0.00316
-0.00456
-0.00530
-0.00589
-0.00396
-0.00295
-0.00410
-0.00404
-0.00557
-0.00625
-0.00648
-0.00583
-0.00721
-0.00369
-0.00582
-0.00538
-0.00369
-0.00346
-0.00384
-0.00611
-0.00659
-0.00481
-0.00790
-0.00657
-0.00362
-0.00375
-0.00548
-0.00806
-0.00541
-0.00665
-0.00630
-0.00504
-0.00641
-0.00866
-0.00933
-0.00741
-0.00401
-0.00758
-0.00679
-0.00598
-0.00670
-0.00747
-0.00497
-0.00448
-0.00670
-0.00730
-0.00595
-0.00533
-0.00337
-0.00103
-0.00347
-0.00422
-0.00243
-0.00469
-0.00531
-0.00488
-0.00550
-0.00505
-0.01031
-0.01228
-0.00739
-0.00509
-0.00597
-0.00482
-0.00496
-0.00551
-0.00448
-0.00474
-0.00660
-0.00575
-0.00683
-0.00450
-0.00527
-0.00619
-0.00721
-0.00448
-0.00519
-0.00529
-0.00391
-0.00316
-0.00552
-0.00620
-0.00680
-0.00715
-0.00701
-0.00738
-0.00553
-0.00394
-0.00601
-0.00873
-0.01168
-0.01081
-0.01036
-0.00745
-0.00716
-0.00713
-0.00941
-0.01092
-0.01108
-0.00884
-0.00919
-0.01143
-0.01085
-0.00776
-0.00969
-0.01267
-0.01165
-0.01156
-0.01293
-0.01157
-0.01080
-0.01039
-0.00981
-0.00643
-0.00852
-0.00926
-0.00621
-0.00699
-0.00878
-0.01094
-0.01075
-0.01198
-0.00778
-0.00831
-0.00943
-0.01157
-0.00908
-0.01059
-0.00918
-0.00790
-0.00922
-0.00962
-0.01050
-0.00929
-0.00727
-0.00827
-0.00924
-0.01075
-0.01037
-0.01051
-0.01160
-0.01095
-0.01167
-0.01272
-0.00963
-0.00900
-0.00841
-0.01289
-0.01784
-0.02364
-0.02048
-0.01816
-0.02075
-0.02293
-0.02402
-0.02381
-0.02062
-0.01889
-0.02291
-0.02489
-0.02157
-0.02270
-0.02370
-0.02366
-0.02221
-0.02227
-0.02261
-0.02271
-0.02284
-0.02141
-0.01944
-0.02053
-0.02148
-0.02066
-0.01996
-0.01848
-0.01964
-0.02129
-0.02322
-0.02284
-0.02355
-0.02221
-0.02212
-0.02166
-0.02171
-0.02261
-0.02433
-0.02181
-0.02063
-0.02259
-0.02273
-0.02240
-0.02144
