c000001,c000002,c000003,c000004,c000005,c000006,c000007
0.0450102571,0.7122616172,0.2559639812,0.3925114572,0.5120325685,0.0093603916,0.3279411793
0.0450691905,0.7122583985,0.2559632659,0.3925148547,0.5120338798,0.0093662739,0.3279365599
0.0451277929,0.712256372,0.2559660673,0.3925116062,0.5120315552,0.0093658501,0.3279386461
0.0451863952,0.7122586966,0.2559649944,0.3925122917,0.512031436,0.0093636876,0.3279392421
0.0452459909,0.7122551799,0.2559731007,0.3925070763,0.5120319724,0.0093694981,0.3279341757
0.0453049243,0.7122591138,0.2559677958,0.3925093114,0.5120283365,0.0093677323,0.3279415667
0.0453635267,0.712256372,0.2559692562,0.3925083876,0.5120301247,0.0093609365,0.3279368877
0.045422129,0.7122555375,0.2559688985,0.3925088346,0.5120319724,0.0093461946,0.3279389739
0.0454807314,0.712256968,0.2559679449,0.3925082088,0.5120321512,0.0093603842,0.3279407918
0.0455396649,0.712256968,0.255961597,0.3925101459,0.5120347142,0.0093664639,0.3279352188
0.0455982672,0.7122591138,0.2559700608,0.3925083876,0.5120300651,0.0093591046,0.3279423118
0.0456572007,0.7122583985,0.2559599876,0.3925078809,0.5120326281,0.0093713524,0.3279365599
0.045715472,0.7122582197,0.2559657395,0.3925100863,0.5120301843,0.0093646664,0.3279399872
0.0457737432,0.7122582793,0.2559651136,0.3925098479,0.5120324492,0.0093731228,0.3279392719
0.0458326767,0.7122607231,0.2559611797,0.3925106227,0.5120344758,0.0093745971,0.3279367387
0.0459012116,0.7122589946,0.2559597492,0.3925128281,0.5120286345,0.0093689403,0.3279382586
0.0459637871,0.7122611403,0.2559668422,0.3925072551,0.5120302439,0.0093552545,0.3279402852
0.0460227205,0.7122589946,0.2559669614,0.3925097585,0.5120328665,0.0093765259,0.3279350698
0.046100857,0.7122613192,0.2559654415,0.3925087452,0.5120300651,0.0093841152,0.3279365003
0.0461614459,0.7122596502,0.2559648156,0.39251104,0.5120310187,0.0093612429,0.3279388547
0.0462329606,0.7122595906,0.2559639812,0.3925082386,0.5120373368,0.0093760761,0.3279369473
0.0462948738,0.7122574449,0.2559631467,0.3925086558,0.5120300055,0.0093745161,0.3279364407
0.0463541384,0.7122589946,0.2559623718,0.3925091922,0.5120270252,0.0093594352,0.3279396296
0.0464130718,0.7122565508,0.2559684515,0.39250651,0.5120332241,0.0093678217,0.327940762
