7.57 2158.30
 7.66 2127.70
 7.64 2161.30
 7.61 2250.90
 7.57 2355.10
 7.56 2255.60
 7.60 2194.80
 7.60 2198.60
 7.60 2204.10
 7.58 2241.60
 7.59 2196.60
 7.57 2161.60
 7.60 2186.60
 7.59 2192.10
 7.59 2185.10
 7.58 2196.90
 7.58 2170.20
 7.58 2166.20
 7.60 2144.20
 7.60 2144.90
 7.60 2159.80
 7.59 2140.20
 7.60 2136.40
 7.59 2116.90
 7.61 2131.90
 7.60 2122.90
 7.59 2129.00
 7.60 2085.10
 7.61 2097.30
 7.61 2094.10
 7.61 2071.00
 7.62 2021.00
 7.64 2020.30
 7.63 2015.60
 7.64 2011.40
 7.62 2036.50
 7.59 2259.50
 7.60 2115.80
 7.61 2076.10
 7.64 2006.50
 7.63 2014.00
 7.65 2014.30
 7.64 1999.00
 7.64 1997.10
 7.62 2082.10
 7.61 2134.00
 7.60 2169.00
 7.57 2229.50
 7.57 2222.60
 7.57 2204.40
 7.57 2213.10
 7.57 2219.60
 7.57 2213.40
 7.57 2210.00
 7.57 2204.60
 7.57 2204.30
 7.57 2212.80
 7.57 2213.40
 7.57 2218.00
 7.56 2241.40
 7.56 2240.40
 7.56 2241.30
 7.56 2245.10
 7.55 2248.60
 7.55 2247.80
 7.55 2247.90
 7.55 2249.40
 7.55 2250.10
 7.55 2250.60
 7.55 2250.60
 7.55 2250.20
 7.55 2247.10
 7.55 2244.60
 7.55 2245.00
 7.55 2247.20
 7.55 2248.10
 7.55 2250.00
 7.55 2252.30
 7.55 2250.00
 7.55 2248.40
 7.55 2247.50
 7.55 2247.90
 7.55 2248.20
 7.55 2247.60
 7.55 2246.80
 7.56 2210.80
 7.55 2214.80
 7.55 2251.80
 7.54 2253.10
 7.55 2254.60
 7.55 2255.00
 7.55 2254.80
 7.55 2255.30
 7.55 2254.80
 7.55 2255.30
 7.55 2253.10
 7.55 2253.70
 7.55 2249.50
 7.54 2249.30
 7.54 2248.90
 7.54 2248.50
 7.54 2249.50
 7.55 2248.70
 7.55 2234.90
 7.55 2290.40
 7.56 2187.50
 7.55 2232.70
 7.55 2257.10
 7.54 2255.00
 7.54 2260.40
 7.54 2258.90
 7.54 2265.00
 7.54 2266.20
 7.54 2268.70
 7.54 2267.90
 7.53 2267.30
 7.54 2265.20
 7.54 2258.60
 7.54 2267.00
 7.54 2255.90
 7.54 2257.70
 7.54 2245.30
 7.54 2242.70
 7.54 2244.80
 7.54 2250.90
 7.54 2257.60
 7.54 2261.10
 7.53 2262.20
 7.53 2267.70
 7.53 2269.30
 7.53 2269.20
 7.54 2265.60
 7.53 2268.50
 7.53 2268.50
 7.53 2262.90
 7.53 2262.80
 7.53 2264.90
 7.53 2259.20
 7.53 2258.00
 7.53 2257.40
 7.54 2256.00
 7.54 2255.60
 7.53 2260.90
 7.53 2259.30
 7.53 2256.40
 7.54 2257.10
 7.54 2258.60
 7.53 2262.00
 7.53 2261.40
 7.54 2258.50
 7.54 2243.90
 7.54 2237.00
 7.54 2238.50
 7.54 2236.50
 7.54 2235.20
 7.54 2246.40
 7.54 2237.60
 7.54 2237.00
 7.54 2209.40
 7.56 1188.40
 7.82 1202.90
 7.83 1204.90
 7.83 1207.50
 7.83 1206.60
 7.84 1208.20
 7.84 1199.60
 7.84 1194.40
 7.85 1200.60
 7.84 1196.50
 7.85 1166.10
 7.85 1185.90
 7.84 1197.50
 7.82 1201.40
 7.85 1203.40
 7.85 1202.70
 7.85 1207.90
 7.85 1209.90
 7.85 1211.30
 7.85 1215.60
 7.85 1210.30
 7.85 1209.00
 7.85 1207.30
 7.85 1208.10
 7.85 1207.70
 7.85 1204.50
 7.85 1204.30
 7.85 1206.60
 7.85 1206.20
 7.85 1199.00
 7.86 1194.00
 7.86 1200.70
 7.85 1188.90
 7.85 1184.90
 7.51 2116.30
 7.62 2072.50
 7.85 1183.40
 7.85 1185.10
 7.85 1180.60
 7.85 1176.10
 7.85 1186.20
 
